textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2011-12/31/2011), Quarter 3 (07/01/2011-09/30/2011), Quarter 2 (04/01/2011-06/30/2011), Quarter 1 (01/01/2011-03/31/2011)",All,All,All,2/16/2026 3:19:57 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2011,Commercial Residential - (Apartment Buildings) - WIND ONLY,"4,811",120,99,0,0,77,0,"4,073,735,023","23,466,795","4,811",0,"23,466,795",0,0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - (Condo Associations Only) - WIND ONLY,"6,349",90,249,0,0,167,0,"48,746,096,188","184,447,190","6,349",0,"184,447,190",0,0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - (Homeowners Association) - WIND ONLY,394,6,13,0,0,7,0,"1,617,096,359","5,373,135",394,0,"5,373,135",0,0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - Allied Lines (Condo Associations Only),97,40,0,0,0,30,24,"117,232,954","815,780",73,"136,225,230","451,037","364,743",0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - Allied Lines (Excl Condo Associations),"1,840",42,79,0,0,63,39,"6,411,943,640","21,802,141","1,801","490,405,273","20,877,667","924,474",0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - CMP (Condo Associations Only),"7,997",292,823,0,0,"1,249","2,206","75,719,691,977","382,785,604","5,791","14,350,802,838","364,661,880","18,123,724",1,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - CMP (Excl Condo Associations),"57,535","1,239","4,140",0,"3,965",355,"7,009","18,009,343,303","79,758,573","50,526","2,661,110,439","65,021,282","14,737,291",7,33,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - Dwelling/Fire (Condo Associations Only),"6,068",100,342,0,0,315,218,"53,021,728,860","266,154,965","5,850","802,626,348","264,509,013","1,645,952",0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,444",69,137,0,0,164,184,"13,480,232,400","54,944,603","3,260","822,304,080","54,244,807","699,797",0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
Period Ending  3/31/2011,Personal Residential - Allied Lines,"51,881","2,055","1,736",0,0,"3,402","1,552","8,155,106,090","56,563,940","50,329","2,363,922,680","49,891,187","6,672,753",0,0,,,,,,,,,,,,,,,,"6,166,048","217,382","171,630",4,"27,937","369,617","373,839","2,132,081,793,781","10,042,245,625","5,792,209","201,383,682,037","9,569,693,891","472,551,734","26,763","25,059",,,,,,,,,,,,,,,
