textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2009-12/31/2009), Quarter 3 (07/01/2009-09/30/2009), Quarter 2 (04/01/2009-06/30/2009), Quarter 1 (01/01/2009-03/31/2009)",All,All,All,2/16/2026 3:21:24 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,SumLawsuitsClosedTot,SumLawsuitsClosedCon,SumLawsuitsOpenBegin,SumLawsuitsOpenEnd,SumLawsuitsOpenTot,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1,Textbox104,Textbox158,Textbox151,Textbox140,Textbox122
Period Ending  3/31/2009,Commercial Residential - Allied Lines (Condo Associations Only),"8,129",472,112,0,14,420,19,"66,421,049,186","270,011,169","8,110","69,036,996","269,808,901","202,268",0,0,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Commercial Residential - Allied Lines (Excl Condo Associations),"6,444",501,69,0,18,269,36,"6,526,460,653","37,491,238","6,408","635,578,957","35,453,420","2,037,818",0,0,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Commercial Residential - CMP (Condo Associations Only),"6,855",349,883,0,0,"1,003","2,629","55,209,623,332","295,382,968","4,226","20,915,168,091","268,525,596","26,857,372",16,0,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Commercial Residential - CMP (Excl Condo Associations),"79,310","1,933","1,350",0,167,556,"8,581","19,113,377,110","89,495,721","70,729","2,146,467,663","73,201,536","16,294,184",10,10,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Commercial Residential - Dwelling/Fire (Condo Associations Only),"7,553",362,291,0,0,"1,394",499,"63,177,157,251","332,916,507","7,054","4,968,048,540","327,633,279","5,283,228",3,4,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"3,797",153,144,0,0,235,196,"11,677,008,627","72,669,088","3,601","586,537,637","71,698,804","970,283",0,1,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Personal Residential - Allied Lines,"363,309","18,561","48,515",0,0,"28,680","1,418","121,105,051,236","584,068,662","361,891","2,132,980,749","577,825,551","6,243,111",0,0,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Personal Residential - Condominium Unit Owners,"779,759","24,004","18,213",7,334,"85,377","96,411","70,335,951,205","633,749,434","683,348","14,765,052,350","569,377,514","64,371,919","6,916","9,619",,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Personal Residential - Dwelling/Fire,"626,137","28,716","15,871",0,"1,239","47,219","61,877","114,698,963,907","616,681,605","564,260","16,018,070,462","563,832,903","52,848,702","6,223","30,101",,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
Period Ending  3/31/2009,Personal Residential - Farmowners,"2,706",42,18,0,0,29,1,"1,212,984,367","6,364,483","2,705","135,000","6,363,682",801,6,6,,,,,,,,,,,,,,,,"6,202,486","258,803","166,757",28,"3,977","440,384","435,657","2,105,571,171,354","9,578,699,055","5,766,829","229,243,165,703","9,060,513,623","518,185,432","69,139","118,173",,,,,,,,,,,,,,,
